x, y
-0.00946969696969697, 0.9992187499999999
0.023674242424242424, 0.9807091346153846
0.03314393939393939, 1.0067908653846154
0.06628787878787878, 1.0471754807692308
0.08049242424242424, 1.08125
0.12310606060606061, 1.1237379807692307
0.15151515151515152, 1.1628605769230769
0.20359848484848486, 1.2003004807692308
0.29829545454545453, 1.2368990384615386
0.4119318181818182, 1.2499399038461538
0.6155303030303031, 1.25625
0.9611742424242424, 1.2579326923076923
1.5009469696969697, 1.2583533653846155
1.9176136363636365, 1.2583533653846155
2.320075757575758, 1.2583533653846155
2.760416666666667, 1.2583533653846155
3.4517045454545454, 1.2583533653846155
4.635416666666667, 1.2587740384615385
4.990530303030303, 1.2579326923076923